MainGroup,ACNAME,Address,VATNO,PARTYTYPE
SUPPLIER,Vend_5031702f,fscurbfutspb,733600759,Supplier
SUPPLIER,Vend_21f33c44,grlduihecemu,679888088,Supplier
SUPPLIER,Vend_8a1037dd,qrakyllccivv,876735168,Supplier
SUPPLIER,Vend_5e0e8a84,bbiaiqijprqx,244083953,Supplier
SUPPLIER,Vend_f371f556,fuqgnqttdtgr,236604435,Supplier
SUPPLIER,Vend_79c3bead,reififgebuev,728750945,Supplier
SUPPLIER,Vend_1dc9556b,zytqjhkfyyib,994995227,Supplier
SUPPLIER,Vend_a2651bd0,dsbqntdbxrrp,728399703,Supplier
SUPPLIER,Vend_1dd7a0c7,cqokolbletbh,347525365,Supplier
SUPPLIER,Vend_811c66fc,ncsfxvuvcbda,170501656,Supplier
SUPPLIER,Vend_7ab93e12,rlrnhbcjyoys,971641391,Supplier
SUPPLIER,Vend_e8ec5a62,jdyjvawxoyti,205613719,Supplier
SUPPLIER,Vend_6e80634f,unohpduksxze,806820194,Supplier
SUPPLIER,Vend_fe9ce462,ndwgfdsabgem,191900827,Supplier
SUPPLIER,Vend_51b85f12,cwqzxtdaofbp,849752836,Supplier
SUPPLIER,Vend_07a59b8a,vopegxzxlmzp,928665827,Supplier
SUPPLIER,Vend_f95481ff,vfaclbpyzpoo,318493330,Supplier
SUPPLIER,Vend_99d12e60,bofwyiafqwwm,523563251,Supplier
SUPPLIER,Vend_eb47ade7,awcnuintluge,825269737,Supplier
SUPPLIER,Vend_66324e95,swudeazryqza,747967373,Supplier
SUPPLIER,Vend_6ad179ab,xyrkorqutiis,172416680,Supplier
SUPPLIER,Vend_53707172,zuvuafidgrws,632609122,Supplier
SUPPLIER,Vend_3c55a08b,cbvwibtugzpt,961414766,Supplier
SUPPLIER,Vend_b02a9757,amprolwujjhn,742833132,Supplier
SUPPLIER,Vend_1122c7ba,xohsnudzwhto,218136341,Supplier
SUPPLIER,Vend_8431816b,fuqpdgokgvla,258420791,Supplier
SUPPLIER,Vend_b56bbdfe,mlsxiuxuccrx,564041970,Supplier
SUPPLIER,Vend_7e8b339a,qqatayruzbyn,434188005,Supplier
SUPPLIER,Vend_64ac829e,cuksoapjegrp,512753778,Supplier
SUPPLIER,Vend_314b32eb,idzgvycaxzzo,863427878,Supplier
SUPPLIER,Vend_55df0973,ugcdkfnankjh,104017183,Supplier
SUPPLIER,Vend_c4dd5cf9,kaemcyrgtmtk,626506250,Supplier
SUPPLIER,Vend_b671b666,lyiqxjxrkbiu,393907554,Supplier
SUPPLIER,Vend_b08d8727,jjeslsrvpyle,832066124,Supplier
SUPPLIER,Vend_a1f6ea19,njaohytzsqyd,877838980,Supplier
SUPPLIER,Vend_adc2a95b,hirkjvgzqwzs,510344724,Supplier
SUPPLIER,Vend_f33f19e2,ghbvpgniufss,353556406,Supplier
SUPPLIER,Vend_aa481f88,mdofcviyqkgy,512771200,Supplier
SUPPLIER,Vend_0d1781ad,mfxvzlfbkwis,406295810,Supplier
SUPPLIER,Vend_69d134c9,milelfroqowz,105157584,Supplier
SUPPLIER,Vend_e7a1ac7b,wagrfqogwnho,725849972,Supplier
SUPPLIER,Vend_7555fd09,zpvjqtjchuqp,421528093,Supplier
SUPPLIER,Vend_4ff1cec0,jvjfjvhrxgrl,794360299,Supplier
SUPPLIER,Vend_06701428,rooedcmpfspq,835567021,Supplier
SUPPLIER,Vend_56f232bc,sjklevrjripz,770167088,Supplier
SUPPLIER,Vend_d67a7320,rdvpbcbliowa,414365569,Supplier
SUPPLIER,Vend_97ba3287,lbjhlrqjneei,972971258,Supplier
SUPPLIER,Vend_c8d5b2d8,vydpmlwyhvbk,433347404,Supplier
SUPPLIER,Vend_9c4945b5,oddvapurawxc,394877571,Supplier
SUPPLIER,Vend_3912e19e,oeenjpizoqai,481115880,Supplier
SUPPLIER,Vend_41c2352a,nyraozidgyvh,522683026,Supplier
SUPPLIER,Vend_ba777b29,tdnmcdohzwvs,479351058,Supplier
SUPPLIER,Vend_e2512898,hopczavfmwck,675786289,Supplier
SUPPLIER,Vend_f6c4ac44,qohizidetfhx,883040121,Supplier
SUPPLIER,Vend_addf41bd,poleefmqhvxg,118317668,Supplier
SUPPLIER,Vend_f2e1eee8,ettfdkxjpoln,235931739,Supplier
SUPPLIER,Vend_ce1d0734,fcibkgcaugvd,871012613,Supplier
SUPPLIER,Vend_63a64ff1,bhnyjvcsdmai,835928599,Supplier
SUPPLIER,Vend_1fbb9c2c,gmijcvkrkvvd,727732791,Supplier
SUPPLIER,Vend_d93a9b0c,akogfirhgfmn,963064644,Supplier
SUPPLIER,Vend_9643ee03,trtvrirreopi,439373094,Supplier
SUPPLIER,Vend_276929c8,rrjgvpxmhige,547003874,Supplier
